highstreet_id,67,103,153,155,202,248,289,291,292,318,326,333,338,340,357,370,402,470,494,495,498,505,509,510,512,520,521,524,530,533,535,539,542,547,550,554,558,561,567,569,574,575,577,599,602,605,606,607,611,616
67,1,0.384995252,0.182006302,0.227507878,0.321744726,0.456832193,0.438292172,0.486639252,0.181488502,0.414276132,0.312771621,0.340502612,0.468191092,0.383065439,0.269190951,0.255376959,0.240771706,0.205330801,0.36717341,0.300964633,0.276184088,0.190346747,0.433566073,0.182006302,0.240771706,0.491812017,0.254850951,0.424681372,0.356243622,0.350584796,0.278019219,0.473959578,0.319498662,0.199637352,0.377753732,0.175762478,0.269190951,0.333662552,0.160872363,0.474827477,0.159255514,0.29192018,0.1625336,0.201444062,0.233723197,0.372243017,0.433389071,0.147441956,0.45451419,0.340502612
103,0.384995252,1,0.161164593,0.241746889,0.341881729,0.404519917,0.268686645,0.25136635,0.449977043,0.489115988,0.307728727,0.263822427,0.452267017,0.226133508,0.381385036,0.226133508,0.266500895,0.227272727,0.097538413,0.533001791,0.244557994,0.269679945,0.146254485,0.080582296,0.284267622,0.356313412,0.205152485,0.29546842,0.245349873,0.295656198,0.172328087,0.162459108,0.188608384,0.192847304,0.418121005,0.10375717,0.158910432,0.227272727,0.056980288,0.227272727,0.080582296,0.196946386,0.047973909,0.152894157,0.354787438,0.117720402,0.341121146,0.087038828,0.138781845,0.301511345
153,0.182006302,0.161164593,1,0,0.202030509,0.119522861,0.105851225,0.159151754,0.113960576,0.260132991,0.43643578,0.200445931,0.267261242,0.334076552,0.338061702,0,0,0.241746889,0.115278084,0.094491118,0.173421994,0.119522861,0,0,0,0.140372481,0.145478593,0,0,0.314485451,0.087287156,0.096003072,0.167183464,0.512822594,0.148249863,0,0.112687234,0.161164593,0,0.120873445,0.285714286,0.349148624,0.085048651,0.225876976,0.209656967,0.166956774,0.377964473,0.3086067,0.246033916,0
155,0.227507878,0.241746889,0,1,0.101015254,0.418330013,0.264628062,0.222812455,0.227921153,0.260132991,0.327326835,0.334076552,0.267261242,0.133630621,0.169030851,0.267261242,0.377964473,0.241746889,0.115278084,0.472455591,0.173421994,0.119522861,0.324101862,0.142857143,0.251976315,0.280744963,0.21821789,0.333333333,0.434958836,0.157242726,0.174574312,0.192006144,0.167183464,0.227921153,0.370624658,0.122627868,0.281718085,0.322329186,0.404061018,0.362620334,0.071428571,0.21821789,0.085048651,0.180701581,0.314485451,0.208695968,0.151185789,0.15430335,0.295240699,0.133630621
202,0.321744726,0.341881729,0.202030509,0.101015254,1,0.380319415,0.411664654,0.315104396,0.322329186,0.367883604,0.231455025,0.236227796,0.377964473,0.330718914,0.239045722,0.188982237,0.400891863,0.398862018,0.366812616,0.267261242,0.429197538,0.338061702,0.183339699,0.303045763,0.267261242,0.347404167,0.25717225,0.303045763,0.17574991,0.222374795,0.15430335,0.373364328,0.236433122,0.282038037,0.366899693,0.173421994,0.239045722,0.170940865,0.285714286,0.256411297,0.151522882,0.27774603,0.090207717,0.127775313,0.148249863,0.265626601,0.213808994,0.163663418,0.2087667,0.472455591
248,0.456832193,0.404519917,0.119522861,0.418330013,0.380319415,1,0.487088187,0.439414504,0.333711906,0.43528575,0.365148372,0.503115295,0.391311896,0.307459347,0.353553391,0.335410197,0.51387012,0.404519917,0.265233552,0.51387012,0.399011938,0.25,0.29827938,0.478091444,0.368932394,0.440415165,0.365148372,0.537852874,0.415900196,0.263117406,0.292118697,0.361448698,0.396314544,0.262202212,0.496138938,0.20519567,0.282842712,0.303389938,0.338061702,0.4887949,0.119522861,0.365148372,0.10673521,0.264575131,0.175411604,0.33175439,0.252982213,0.225924029,0.349939462,0.447213595
289,0.438292172,0.268686645,0.105851225,0.264628062,0.411664654,0.487088187,1,0.577831796,0.211100165,0.38549554,0.363803438,0.420812706,0.34655164,0.396059017,0.250489716,0.396059017,0.385077023,0.35824886,0.341665137,0.280056017,0.481869425,0.221403721,0.456277501,0.264628062,0.186704011,0.390038226,0.323380833,0.529256124,0.276245553,0.368949428,0.404226042,0.426805796,0.371628063,0.274430215,0.357002774,0.318017595,0.333986289,0.268686645,0.149696238,0.507519219,0.238165256,0.48507125,0.330842018,0.384940608,0.194183909,0.525759226,0.33606722,0.34299717,0.401062066,0.34655164
291,0.486639252,0.25136635,0.159151754,0.222812455,0.315104396,0.439414504,0.577831796,1,0.152351015,0.367085512,0.388973311,0.461505784,0.357294801,0.387069367,0.263635252,0.297745667,0.294753172,0.484777961,0.359595499,0.273699374,0.386405802,0.266311821,0.404398016,0.222812455,0.224573846,0.422235952,0.453802196,0.541115962,0.318432523,0.362034923,0.437594974,0.427813604,0.409756138,0.228526522,0.363351076,0.36886072,0.351513669,0.466823221,0.157552198,0.556596918,0.334218682,0.486216638,0.350573127,0.452953831,0.186856734,0.520800682,0.387389884,0.446949207,0.537230323,0.297745667
292,0.181488502,0.449977043,0.113960576,0.227921153,0.322329186,0.333711906,0.211100165,0.152351015,1,0.345857232,0.087038828,0.319801075,0.319801075,0.213200716,0.134839972,0.213200716,0.301511345,0.321412173,0.229900245,0.452267017,0.207514339,0.286038777,0.103417538,0.227921153,0.301511345,0.335935507,0.232103541,0.265908012,0.297408958,0.167248402,0.069631062,0.153167916,0.266732535,0.090909091,0.413918677,0.048911599,0.35957326,0.192847304,0.241746889,0.289270956,0.113960576,0.208893187,0.067845353,0.108112496,0.418121005,0.099889074,0.301511345,0.184637236,0.078506867,0.213200716
