highstreet_id,convenience,hairdresser,clothes,bakery,beauty,supermarket,dry_cleaning,bookmaker,newsagent,charity,count_lq_cluster,count
524,0.735,1.285,0.65,1.462,0.185,0.957,0.664,2.218,0.901,3.804,4,Four
530,0.696,0.724,0.684,0.769,1.457,2.265,0,2.333,0.711,1.5,4,Four
536,0.422,1.12,0.544,1.05,0.796,0.172,1.429,0.265,0,2.389,4,Four
537,0.662,1.042,0.764,0.763,1.881,0.094,0.91,0.434,1.588,1.117,4,Four
555,0.84,0.944,0.248,0,1.056,1.367,2.654,0.845,0,2.173,4,Four
558,1.058,0.471,0.334,0.501,0.759,0.983,0.341,2.659,1.851,2.443,4,Four
559,1.618,0.551,0.758,1.95,0.554,1.436,0.332,1.109,0.45,0,4,Four
568,0.239,1.192,0.176,0.791,1.499,0.777,0.539,0.6,1.462,2.315,4,Four
572,0.464,1.158,0.854,1.538,1.166,0.377,0,0.583,0.711,2.25,4,Four
579,0.988,1.233,0.243,0,1.241,0.536,0.743,0.828,2.018,1.065,4,Four
588,0.235,0.881,2.427,3.119,0,0,1.062,0,1.441,0,4,Four
590,0.969,1.209,2.617,4.281,0.406,1.576,0,0,0,0,4,Four
593,0.544,1.26,2.862,2.06,0.586,0.506,0.351,0.391,1.428,0,4,Four
598,1.17,0.92,0.639,1.724,0.218,0.987,0.196,0.654,1.328,1.121,4,Four
602,2.44,0.761,0.899,2.022,0.766,0.993,0,3.067,1.868,0,4,Four
603,1.673,0.482,2.275,0.853,0,0.419,0.581,2.588,1.576,0.832,4,Four
605,0.269,0.94,1.19,1.427,0.811,0.525,0.971,1.083,0.659,2.088,4,Four
606,1.977,0.411,1.456,0,0,3.216,0,1.656,0,0,4,Four
607,0.716,1.341,0,0,0,2.913,0.808,2.701,0,5.788,4,Four
612,0.84,1.678,0.248,0,3.589,0.82,1.138,1.69,0.515,0.543,4,Four
613,0.844,1.053,2.287,1.342,1.018,0.439,0.457,0.849,0.62,0.873,4,Four
614,0.696,1.013,0.854,3.844,1.749,0.755,0.523,0.583,1.421,0.75,4,Four
12,1.647,0.685,0.809,3.639,0,0,2.477,0,0,0,3,Three
36,0.824,1.37,0.404,2.729,1.035,0,0.619,0.69,0.841,0.887,3,Three
67,0.314,0.235,1.945,0.417,0.79,1.227,0,0,1.155,0.406,3,Three
76,0.458,1.142,0,0,2.299,0,2.064,0,0,0,3,Three
78,3.603,1.285,0,0,1.293,0,0,0,0,0,3,Three
143,0.867,2.164,0,0,1.089,0,3.912,0,0,0,3,Three
150,2.196,0.685,1.618,0,0,3.573,0,0,0,0,3,Three
153,3.843,1.37,0,0,0,1.787,0,0,0,0,3,Three
155,0.484,0.605,0,0,1.217,0,0,7.307,0,3.132,3,Three
158,0.659,0.822,1.294,1.456,0.552,0.357,0.495,1.104,0,0.71,3,Three
178,0.484,4.232,0,0,2.434,1.576,0,0,0,0,3,Three
179,1.318,1.233,0,0,0.828,0,0,1.656,0,0,3,Three
200,2.995,1.401,0.551,0,0,0,3.378,0,0,0,3,Three
204,4.118,0.856,0.506,0,0,0,1.548,1.725,0,0,3,Three
273,2.167,3.245,0,0,0,0,1.956,0,0,0,3,Three
276,0.784,1.305,0.193,0.866,0.657,2.127,1.77,0,0,0,3,Three
300,0.433,0.721,0.851,1.915,1.452,0,1.956,0.726,0,0,3,Three
310,1.074,0.894,0,0,2.699,0,4.847,0,0,0,3,Three
324,0.294,0.734,3.467,0,0.739,0,1.327,0,0,1.902,3,Three
356,0.458,0.856,0.674,1.516,1.15,0,5.161,0,0,0,3,Three
404,1.348,1.308,1.103,0.993,0.752,0.487,0,0.753,0,0,3,Three
451,0.703,1.755,0.296,0.666,1.766,0.654,0.906,0.505,1.23,0.649,3,Three
470,0.433,1.262,0.639,2.873,0.363,0.94,0.652,0.726,0,2.803,3,Three
480,0.549,2.055,0.809,0,1.379,0,0,0,3.363,0,3,Three
503,0.867,2.241,0.547,0.821,0.933,0.605,0.838,2.179,0,1.602,3,Three
505,0.549,0.685,0,10.918,0,3.573,0,0,3.363,0,3,Three
510,0.915,1.142,0,0,0,4.467,0,2.301,0,0,3,Three
520,0.374,0.467,0.551,0,0.47,1.827,0,0.941,1.147,1.21,3,Three
529,0.148,0.648,1.421,0.984,1.118,0.483,1.004,0.746,0,0.48,3,Three
533,0.526,0.547,1.033,1.161,0,1.426,0.791,0.441,0,0.566,3,Three
539,0.154,0.771,1.592,0.682,0.517,0.838,0.697,1.035,0,1.664,3,Three
542,0.781,1.2,0.62,0.398,1.812,0.978,0.542,0.907,0,3.887,3,Three
548,1.009,0.691,1.151,0.647,1.227,0.212,0.588,0.818,0.798,0.631,3,Three
574,0.261,0.979,0.77,0,0.985,1.276,0.59,1.972,0.801,3.381,3,Three
575,0.546,1.238,0.731,0.658,2.119,0.484,0.895,0.748,0.304,1.283,3,Three
578,0.146,0.365,2.369,1.292,0.49,0.317,0.88,0.245,0.299,1.891,3,Three
580,0.963,0.934,1.103,0.354,0.403,0.174,0.483,2.958,0.655,1.037,3,Three
582,0.562,1.285,0.689,0,1.646,0.609,0.845,0.471,0.573,2.42,3,Three
592,2.574,0.642,0.758,0,0,0,2.322,2.588,0,0,3,Three
594,1.098,1.37,0,0,0,0,0,2.761,0,0,3,Three
604,0.317,0.593,2.8,0,1.194,0.515,2.144,0,0.97,0,3,Three
202,0,0,0,6.065,0,5.956,0,0,0,0,2,Two
290,0.418,0.783,2.279,1.524,0.788,0.612,0.66,0.841,0.768,0.811,2,Two
292,0.549,0,1.213,0,0.69,5.36,0,0,0,0,2,Two
297,1.453,0.605,0.714,0,1.217,0,0,0,0,0,2,Two
318,1.3,0,0,0,0,9.874,0,0,0,0,2,Two
507,0.871,1.285,0.933,0.525,0.995,0.515,1.072,0.398,0.485,0,2,Two
513,0,0.261,5.038,0,1.403,0,0.945,0.351,0.428,0,2,Two
515,0.108,0.609,4.111,0.539,0.953,0.353,0.733,0.409,0.166,1.226,2,Two
546,0.807,0.923,0.842,0.668,0.845,0.656,0.455,1.521,0.618,1.304,2,Two
595,0.343,0.321,3.033,2.843,0.216,0.558,0.774,0.431,0,0,2,Two
1,0.275,0,0.202,0.91,0,0,1.239,0,0,0,1,One
103,0.915,0,0,0,0,5.956,0,0,0,0,1,One
295,0,0.381,0.899,0,1.533,0,0,0,0,0,1,One
301,0.749,0.934,0,0,0,0,1.689,0,0,0,1,One
336,0.98,0.856,0.867,0.65,0.493,0.957,0.442,0.986,0.601,0.634,0,Zero
